,index,smiles,ic50_value
2237,2280,CS(=O)(=O)Nc1cccc(CC(=O)Nc2cc(-c3c[nH]c4ncccc34)ncn2)c1,100.0
2238,2281,CN1CCN(CCCOc2cccc(CC(=O)Nc3nc(-c4c[nH]c5ncc(F)cc45)cs3)c2)CC1,
2239,2282,CS(=O)(=O)Nc1cccc(CC(=O)Nc2nc(-c3c[nH]c4ncc(Cl)cc34)cs2)c1,8.0
2240,2283,CS(=O)(=O)Nc1cccc(CC(=O)Nc2cc(-c3c[nH]c4ncccc34)cs2)c1,5.0
2241,2284,CS(=O)(=O)Nc1cccc(CC(=O)Nc2nnc(-c3c[nH]c4ncccc34)s2)c1,100.0
2242,2285,CC(C(c1ccc2cc(OCC(C)(C)C)ccc2c1)n1ccnc1)N(C)C,220.0
2243,2286,CC(C(c1ccc2cc(OCC(C)(C)C)ccc2c1)n1ccnc1)N(C)C,700.0
2244,2287,CC(C(c1ccc2cc(OCc3ccc(OC(C)(C)C)cc3)ccc2c1)n1ccnc1)N(C)C,40.0
2245,2288,CC(C(c1ccc2cc(OCc3ccc(OC(C)(C)C)cc3)ccc2c1)n1ccnc1)N(C)C,580.0
2246,2289,CC(C(c1ccc2cc(OCc3cccc(C(=O)O)c3)ccc2c1)n1ccnc1)N(C)C,1590.0
2247,2290,CC(C(c1ccc2cc(OCc3cccc(C(=O)O)c3)ccc2c1)n1ccnc1)N(C)C,3790.0
2248,2291,CNC(=O)c1cccc(COc2ccc3cc(C(C(C)N(C)C)n4ccnc4)ccc3c2)c1,397.0
2249,2292,CC(C(c1ccc2cc(OCc3ccccc3)ccc2c1)n1ccnc1)N(C)C,200.0
2250,2293,COC(=O)c1ccc(COc2ccc3cc(C(C(C)N(C)C)n4ccnc4)ccc3c2)cc1,10.0
2251,2294,COC(=O)c1ccc(COc2ccc3cc(C(C(C)N(C)C)n4ccnc4)ccc3c2)cc1,40.0
2252,2295,CC(C(c1ccc2cc(OCc3cccc(C(=O)N(C)C)c3)ccc2c1)n1ccnc1)N(C)C,357.0
2253,2296,COC(=O)Cc1ccc(COc2ccc3cc(C(C(C)N(C)C)n4ccnc4)ccc3c2)cc1,4.0
2254,2297,CC(C(c1ccc2cc(OCc3ccc(C(=O)O)cc3)ccc2c1)n1ccnc1)N(C)C,640.0
2255,2298,CC(C(c1ccc2cc(OCc3ccc(C(=O)O)cc3)ccc2c1)n1ccnc1)N(C)C,1180.0
2256,2299,COC(=O)COc1ccc(COc2ccc3cc(C(C(C)N(C)C)n4ccnc4)ccc3c2)cc1,140.0
2257,2300,COC(=O)COc1ccc(COc2ccc3cc(C(C(C)N(C)C)n4ccnc4)ccc3c2)cc1,220.0
2258,2301,CC(C(c1ccc2cc(OCC(C)(C)C(=O)O)ccc2c1)n1ccnc1)N(C)C,1488.0
2259,2302,CC(C(c1ccc2cc(OCC(C)(C)C(=O)O)ccc2c1)n1ccnc1)N(C)C,6300.0
2260,2303,COC(=O)c1cccc(COc2ccc3cc(C(C(C)N(C)C)n4ccnc4)ccc3c2)c1,160.0
2261,2304,COC(=O)c1cccc(COc2ccc3cc(C(C(C)N(C)C)n4ccnc4)ccc3c2)c1,210.0
2262,2305,CC(C(c1ccc2cc(OCc3cccc(C(N)=O)c3)ccc2c1)n1ccnc1)N(C)C,481.0
2263,2306,CC(C(c1ccc2cc(OCc3ccc(CC(=O)O)cc3)ccc2c1)n1ccnc1)N(C)C,4.0
2264,2307,CC(C(c1ccc2cc(OCc3ccc(OCC(=O)O)cc3)ccc2c1)n1ccnc1)N(C)C,750.0
2265,2308,CC(C(c1ccc2cc(OCC(C)(C)C(N)=O)ccc2c1)n1ccnc1)N(C)C,1835.0
2266,2309,CC(C(c1ccc2cc(OCc3ccc(C#N)cc3)ccc2c1)n1ccnc1)N(C)C,260.0
2267,2310,CC(C(c1ccc2cc(OCc3ccc(C#N)cc3)ccc2c1)n1ccnc1)N(C)C,320.0
2268,2311,CNC(=O)C(C)(C)COc1ccc2cc(C(C(C)N(C)C)n3ccnc3)ccc2c1,2010.0
2269,2312,CC(C(c1ccc2cc(OCC(C)(C)C(=O)N(C)C)ccc2c1)n1ccnc1)N(C)C,2032.0
2270,2313,CC(C(c1ccc2cc(OCc3ccc([N+](=O)[O-])cc3)ccc2c1)n1ccnc1)N(C)C,344.0
2271,2314,CC(C(c1ccc2cc(OCC(=O)O)ccc2c1)n1ccnc1)N(C)C,2200.0
2272,2315,COc1ccc(CCCOC(Cn2ccnc2)c2ccc(OC)cc2)cc1,0.045
2273,2316,Clc1ccc(OC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,0.06
2274,2317,CCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,0.21
2275,2318,CS(=O)(=O)OCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,7.7
2276,2319,COC(=O)[C@H](Cc1c[nH]cn1)NCc1ccccc1,1.5
2277,2320,Clc1ccc(C2(Cn3cncn3)CC(Br)CO2)c(Cl)c1,0.13
2278,2321,Clc1ccc(Cn2cc(-c3ccncc3)cn2)c(Cl)c1,0.23
2279,2322,Cc1cc(C(C)(C)NC(=O)C(Br)C(C)(C)C)cc(C)n1,13.0
2280,2323,CS(=O)(=O)c1ccc(Cn2cc(-c3ccncc3)cn2)cc1,26.0
2281,2324,Cc1cnc(CNc2cc(-c3ccccc3)nc(-c3cccnc3)n2)nc1,9.6
2282,2325,Cc1cnc(CNc2cc(-c3ccccc3)nc(-c3ccncc3)n2)nc1,0.07100000000000001
2283,2326,Cc1cnc(CNc2cc(-c3ccccc3)nc(-c3ccccn3)n2)nc1,40.0
2284,2327,CS(=O)(=O)Cc1cc(N2CCCC2)nc(-c2ccncc2)n1,1.3
2285,2328,CS(=O)(=O)Cc1cc(N2CCCC2)nc(-c2ccccc2)n1,40.0
2286,2329,CCOC(=O)C(Cc1ccc(Cl)cc1Cl)c1ccno1,12.0
2287,2330,COc1ccc(-c2cc(CNS(=O)(=O)c3ccccc3)on2)cc1,33.0
2288,2331,O=C(Nc1ccccc1)OCc1cn(-c2ccc(Cl)cc2)nn1,20.0
2289,2332,CCOc1ccc(NC(=O)c2ccc(-n3cnnn3)cc2)cc1,34.0
2290,2333,CCn1c(SCc2ccc(OC)cc2)nnc1-c1ccncc1,28.0
2291,2334,Brc1ccc(-n2c(SCc3ccccc3)nnc2-c2ccncc2)cc1,1.3
2292,2335,O[C@](Cn1cccn1)(c1ccc(F)cc1F)n1cncn1,44.0
2293,2336,C/C=C/c1cc(OC)c(OC)cc1OC,92.3
2294,2337,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,0.72
2295,2338,COc1cc(OC)c([C@@H]2[C@H](C)[C@@H](C)[C@H]2c2cc(OC)c(OC)cc2OC)cc1OC,85.4
2296,2339,O=C1OC[C@H](Cc2ccc3c(c2)OCO3)[C@H]1Cc1ccc2c(c1)OCO2,8.0
2297,2340,O[C@H]1OC[C@H](Cc2ccc3c(c2)OCO3)[C@H]1Cc1ccc2c(c1)OCO2,9.1
2298,2341,COc1cc(C[C@H]2C(=O)OC[C@@H]2Cc2ccc3c(c2)OCO3)cc(OC)c1OC,1.0
2299,2342,OC[C@H](Cc1ccc2c(c1)OCO2)[C@H](CO)Cc1ccc2c(c1)OCO2,9.5
2300,2343,COc1cc(C[C@H]2COC(=O)[C@@H]2Cc2cc(OC)c3c(c2)OCO3)cc(OC)c1O,7.4
2301,2344,COc1cc(C[C@@H]2[C@@H](Cc3cc(OC)c4c(c3)OCO4)CO[C@@H]2O)cc(OC)c1OC,0.8300000000000001
2302,2345,CC1=CC(=O)C2=C(C)C[C@@H]3OC(=O)C(C)=C3C[C@@H]12,8.8
2303,2346,CC1=C[C@@H](O)[C@@]23O[C@]2(C)C[C@@H]2OC(=O)C(C)=C2C[C@@H]13,98.2
2304,2347,CO[C@@H]1OC[C@H](Cc2ccc3c(c2)OCO3)[C@H]1Cc1ccc2c(c1)OCO2,7.7
2305,2348,COc1cc(C[C@H]2C(O)OC[C@@H]2Cc2ccc3c(c2)OCO3)cc(OC)c1OC,0.8300000000000001
2306,2349,COc1cc(C[C@H]2COC(=O)[C@@H]2Cc2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,14.9
2307,2350,COc1cc(OC)c(OC)cc1CC(C)=O,28.7
2308,2351,CCOc1cc(C[C@H]2COC(O)[C@@H]2Cc2cc(OC)c(OC)c(OC)c2)cc2c1OCO2,0.44
2309,2352,COc1cc(C[C@H]2COC(O)[C@@H]2Cc2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,15.0
2310,2353,COc1cc(C[C@@H](CO)[C@H](CO)Cc2ccc3c(c2)OCO3)cc(OC)c1OC,0.8
2311,2354,COc1cc(OC)c(C(=O)C(C)=O)cc1OC,74.0
2312,2355,COc1cc(C[C@@H]2COC(=O)[C@H]2Cc2cc(OC)c(O)c(OC)c2)ccc1O,1.1
2313,2356,COc1cc([C@H]2OC[C@@H]3C(c4cc(OC)c(O)c(OC)c4)OC[C@H]23)ccc1O,13.7
2314,2357,Cc1nc2c(OCc3ccccc3)cccn2c1CC#N,9.0
2315,2359,Cc1cccc(C)c1CNc1cc(C(=O)NCCO)cn2c(C)c(C)nc12,9.0
2316,2360,Cc1cccc(C)c1CNc1ncnc2c(C)c(C)[nH]c12,8.8
2317,2361,Cc1cccc(C)c1CNc1cccc2c1nc(C)n2C,13.0
2318,2362,Cc1cccc(C)c1CNc1nccc2c1nc(C)n2C,12.0
2319,2363,Cc1cccc(C)c1CNc1nccc2c1cc(C)n2C,3.1
2320,2364,Cc1cccc(C)c1CNc1nccc2c(C)c(C)[nH]c12,9.0
2321,2365,Cc1cccc(C)c1CNc1nc(-n2ccccc2=O)cc2c(C)c(C)[nH]c12,3.0
2322,2366,Cc1cccc(C)c1CNc1nc(-c2ccccc2)cc2c(C)c(C)[nH]c12,7.7
2323,2367,Cc1cccc(C)c1CNc1nc(N2CCCC2=O)cc2c(C)c(C)[nH]c12,1.0
2324,2368,Cc1cccc(C)c1CNc1nc(N2CCOCC2=O)cc2c(C)c(C)[nH]c12,22.0
2325,2369,Cc1cccc(C)c1CNc1nc(-c2cccc(=O)[nH]2)cc2c(C)c(C)[nH]c12,1.3
2326,2370,Cc1cccc(C)c1CNc1nc(N2CCNC2=O)cc2c(C)c(C)[nH]c12,1.6
2327,2371,CCn1c(C)c(C)c2cc(-n3ccccc3=O)nc(NCc3c(C)cccc3C)c21,2.9
2328,2372,Cc1cccc(C)c1CNc1nc(-n2ccccc2=O)cc2c(C)c(C)n(CCO)c12,5.6
2329,2373,Cc1cccc(C)c1CNc1nc(N2CCOCC2=O)cc2c(C)c(C)n(CCO)c12,6.0
2330,2374,C=CCn1c(C)c(C)c2cc(-n3ccccc3=O)nc(NCc3c(C)cccc3C)c21,2.4
2331,2375,Cc1c(C)n(C[C@H]2C[C@@H]2C)c2c(OCc3ccc(F)cc3)nncc12,6.0
2332,2376,Cc1cccc(C)c1COc1cccn2c(C)c(C)nc12,5.5
2333,2377,Cc1cccc(C)c1CNc1nccn2c(C)c(C)cc12,4.7
2334,2378,O=S(=O)(Nc1ccc(-c2ncccn2)cc1)c1cc(Cl)cc(Cl)c1,16.2
2335,2379,O=S(=O)(Nc1ccc(-c2cncnc2)cc1)c1cc(Cl)cc(Cl)c1,3.5
2336,2380,Cc1cc(-c2ccc(NS(=O)(=O)c3cc(Cl)cc(Cl)c3)cc2)ccn1,4.7
2337,2381,Cc1cc(-c2ccc(NS(=O)(=O)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)cc2)ccn1,27.0
2338,2382,COc1cc(-c2ccnc(C)c2)ccc1NS(=O)(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,2.2
2339,2383,C=Cc1cc(-c2ccc(NS(=O)(=O)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)cc2)ccn1,4.5
2340,2384,CCc1cc(-c2ccc(NS(=O)(=O)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)cc2)ccn1,12.2
2341,2385,CCCc1cc(-c2ccc(NS(=O)(=O)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)cc2)ccn1,27.0
2342,2386,Cc1cc(-c2ccc(NC(=O)c3cc(Cl)cc(Cl)c3)cc2)ccn1,27.0
2343,2387,Cc1cc(-c2ccc(NC(=O)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)cc2)ccn1,27.0
2344,2388,Cc1cc(-c2ccc(NC(=O)Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)cc2)ccn1,27.0
2345,2389,Cc1cc(-c2ccc(NC(=O)[C@H](C)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)cc2)ccn1,27.0
2346,2390,Cc1cc(-c2ccc(NC(=O)[C@@H](C)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)cc2)ccn1,27.0
2347,2391,O=S(=O)(Nc1ccc(-c2cnco2)cc1)c1cc(Cl)cc(Cl)c1,1.6
2348,2392,O=S(=O)(Nc1ccc(-c2ccco2)cc1)c1cc(Cl)cc(Cl)c1,13.0
2349,2393,O=S(=O)(Nc1ccc(-c2nnco2)cc1)c1cc(Cl)cc(Cl)c1,27.0
2350,2394,Cc1noc(-c2ccc(NS(=O)(=O)c3cc(Cl)cc(Cl)c3)cc2)n1,27.0
2351,2395,O=S(=O)(Nc1ccc(-c2cc[nH]n2)cc1)c1cc(Cl)cc(Cl)c1,15.3
2352,2396,O=S(=O)(Nc1ccc(-n2ccnc2)cc1)c1cc(Cl)cc(Cl)c1,0.1
2353,2397,Cc1nccn1-c1ccc(NS(=O)(=O)c2cc(Cl)cc(Cl)c2)cc1,27.0
2354,2398,O=S(=O)(Nc1ccc(-c2ccncc2)cc1)c1cc(Cl)cc(Cl)c1,0.6000000000000001
2355,2399,Cn1c(NCCc2ccccc2)nc2cc(Cl)ccc2c1=O,18.0
2356,2400,Cn1c(NCCc2ccc(-c3ccc(F)cc3)cc2)nc2cc(Cl)ccc2c1=O,18.0
2357,2401,Cn1c(NCCc2ccc(OC(F)(F)F)cc2)nc2cc(Cl)ccc2c1=O,30.0
2358,2402,Cn1c(NCCc2ccc(-n3cccn3)cc2)nc2cc(Cl)ccc2c1=O,8.3
2359,2403,Cn1c(NCCc2ccc(Oc3ccc(Cl)cn3)cc2)nc2cc(Cl)ccc2c1=O,15.0
2360,2405,Cn1c(NCCc2ccc(-c3ccc(F)cn3)cc2)nc2cc(Cl)ccc2c1=O,9.3
2361,2406,COc1ccc(-c2ccc(CCNc3nc4cc(Cl)ccc4c(=O)n3C)cc2)cc1,7.9
2362,2407,Cn1c(NCCc2ccc(-c3ncc(Cl)cn3)cc2)nc2cc(Cl)ccc2c1=O,16.0
2363,2409,COc1ccc(CCNc2nc3cc(OC)ccc3c(=O)n2C)cc1,10.0
2364,2410,Cn1c(NCCc2ccc(-c3ncccn3)cc2)nc2cc(Cl)ccc2c1=O,5.4
2365,2411,COc1ccc(CCNc2nc3cc(Cl)ccc3c(=O)n2C)nc1,7.4
2366,2412,Cn1c(NCCc2ccc(Oc3ccc(Cl)cc3)cc2)nc2cc(Cl)ccc2c1=O,29.0
2367,2413,Cn1c(NCCc2ccc(-c3ccc(Cl)cn3)cc2)nc2cc(Cl)ccc2c1=O,8.4
2368,2414,Cn1c(NCCc2ccc(-c3ncc(F)cn3)cc2)nc2cc(Cl)ccc2c1=O,9.9
2369,2415,Cn1c(NCCc2ccc(-c3ccc(F)cc3)cc2)nc2cc(N)ccc2c1=O,30.0
2370,2416,COc1ccc(CCNc2nc3cc(C)ccc3c(=O)n2C)cc1,4.8
2371,2417,COc1ccc(CCNc2nc3cc(Cl)ccc3c(=O)n2C)cc1,4.3
2372,2418,COc1cnc(-c2ccc(CCNc3nc4cc(Cl)ccc4c(=O)n3C)cc2)nc1,8.7
2373,2419,Cn1c(NCCc2ccc(-c3ccccn3)cc2)nc2cc(Cl)ccc2c1=O,5.8
2374,2420,C[C@H]([C@@H](c1ccc2cc(OCC(C)(C)C(=O)O)ccc2c1)n1ccnc1)N(C)C1CCCCC1,448.0
2375,2421,C[C@H]([C@@H](c1ccc2cc(OCC(C)(C)C(=O)O)ccc2c1)n1ccnc1)N(C)C,6300.0
2376,2422,CCC(CC)(COc1ccc2cc([C@H]([C@@H](C)N(C)C)n3ccnc3)ccc2c1)C(=O)O,5300.0
2377,2423,C[C@H]([C@@H](c1ccc2cc(OCC3(C(=O)O)CC3)ccc2c1)n1ccnc1)N(C)C,7500.0
2378,2424,C[C@H]([C@@H](c1ccc2cc(OCC(C)(C)C(=O)O)ccc2c1)n1ccnc1)N1CCCC1,
2379,2425,CCN(C)[C@H](C)[C@@H](c1ccc2cc(OCC3(C(=O)O)CCCC3)ccc2c1)n1ccnc1,2300.0
2380,2426,CC(C)N(C)[C@H](C)[C@@H](c1ccc2cc(OCC3(C(=O)O)CCCC3)ccc2c1)n1ccnc1,800.0
2381,2427,C[C@H]([C@@H](c1ccc2cc(OCC3(C(=O)O)CCCC3)ccc2c1)n1ccnc1)N(C)C,8200.0
2382,2428,C[C@H]([C@@H](c1ccc2cc(OCC3(C(=O)O)CCCCC3)ccc2c1)n1ccnc1)N(C)C,8000.0
2383,2429,C[C@H]([C@@H](c1ccc2cc(OCC3(C(=O)O)CCOCC3)ccc2c1)n1ccnc1)N(C)C,20000.0
2384,2430,CCN(C)[C@H](C)[C@@H](c1ccc2cc(OCC(C)(C)C(=O)O)ccc2c1)n1ccnc1,1700.0
2385,2431,CCN(CC)[C@H](C)[C@@H](c1ccc2cc(OCC(C)(C)C(=O)O)ccc2c1)n1ccnc1,580.0
2386,2432,CC(C)N(C)[C@H](C)[C@@H](c1ccc2cc(OCC(C)(C)C(=O)O)ccc2c1)n1ccnc1,400.0
2387,2433,C[C@H]([C@@H](c1ccc2cc(OCC3(C(=O)O)CCC3)ccc2c1)n1ccnc1)N(C)C,7000.0
2388,2434,CCCCN(C)[C@H](C)[C@@H](c1ccc2cc(OCC(C)(C)C(=O)O)ccc2c1)n1ccnc1,2270.0
2389,2435,C[C@H]([C@@H](c1ccc2cc(OCC(C)(C)C(=O)O)ccc2c1)n1ccnc1)N1CCOCC1,2150.0
2390,2436,CC[C@H]([C@@H](c1ccc2cc(OCC(C)(C)C(=O)O)ccc2c1)n1ccnc1)N(C)C,3300.0
2391,2437,CCN(CC)[C@H](C)[C@@H](c1ccc2cc(OCC3(C(=O)O)CCCC3)ccc2c1)n1ccnc1,1010.0
2392,2438,CN(C)C[C@@H](c1ccc2cc(OCC(C)(C)C(=O)O)ccc2c1)n1ccnc1,20000.0
2393,2439,CN(C)C(C)(C)[C@@H](c1ccc2cc(OCC(C)(C)C(=O)O)ccc2c1)n1ccnc1,2100.0
2394,2440,Cc1cc(-n2ccnc2)cc2[nH]c(-c3c(NCC(O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,0.046
2395,2441,Cc1cc(-n2ccnc2)cc2nc(-c3c(NCc4ccccn4)cc[nH]c3=O)[nH]c12,0.08
2396,2442,Cc1cc(-n2ccnc2)cc2[nH]c(-c3c(N[C@H](CO)Cc4ccccc4)cc[nH]c3=O)nc12,0.06
2397,2443,Cc1cc(Br)cc2[nH]c(-c3c(N[C@H](CO)Cc4ccccc4)cc[nH]c3=O)nc12,3.1
2398,2444,Cc1cc(-c2ccccc2)cc2[nH]c(-c3c(N[C@H](CO)Cc4ccccc4)cc[nH]c3=O)nc12,3.6
2399,2445,Cc1cc(-c2ccc(F)cc2)cc2[nH]c(-c3c(N[C@H](CO)Cc4ccccc4)cc[nH]c3=O)nc12,6.3
2400,2446,COc1ccc(-c2cc(C)c3nc(-c4c(N[C@H](CO)Cc5ccccc5)cc[nH]c4=O)[nH]c3c2)cc1,6.8
2401,2447,Cc1cccc2[nH]c(-c3c(NCC(O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,0.71
2402,2448,Cc1cc(C(N)=O)cc2[nH]c(-c3c(NCC(O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,
2403,2449,CNC(=O)c1cc(C)c2nc(-c3c(NCC(O)c4cccc(Cl)c4)cc[nH]c3=O)[nH]c2c1,3.7
2404,2450,Cc1cc(C(=O)N(C)C)cc2[nH]c(-c3c(NCC(O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,2.2
2405,2451,Cc1cc(C(=O)NC2CC2)cc2[nH]c(-c3c(NCC(O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,10.0
2406,2452,Cc1cc(C(=O)NC2CCCC2)cc2[nH]c(-c3c(NCC(O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,1.6
2407,2453,Cc1cc(C(=O)NC2CCCCC2)cc2[nH]c(-c3c(NCC(O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,11.0
2408,2454,Cc1cc(C2=NCCN2C)cc2[nH]c(-c3c(NCC(O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,35.0
2409,2455,Cc1cc(C2=NC(C)CN2)cc2[nH]c(-c3c(NCC(O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,4.3
2410,2456,Cc1cc(C2=NC(C)(C)CN2)cc2[nH]c(-c3c(NCC(O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,13.0
2411,2457,Cc1cc(C2=NCCCN2)cc2[nH]c(-c3c(NCC(O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,16.0
2412,2458,CNC(=N)c1cc(C)c2nc(-c3c(NCC(O)c4cccc(Cl)c4)cc[nH]c3=O)[nH]c2c1,15.0
2413,2459,Cc1cnc(-c2cc(C)c3nc(-c4c(NCC(O)c5cccc(Cl)c5)cc[nH]c4=O)[nH]c3c2)[nH]1,0.36
2414,2460,O=C(N[C@H]1C[C@@H]1c1ccccc1)N1CCC2(CCc3cc(F)ccc3O2)CC1,10.0
2415,2461,CS(=O)(=O)c1ccc2c(c1)CCC1(CCN(C(=O)N[C@H]3C[C@@H]3c3ccccc3)CC1)O2,10.0
2416,2462,CS(=O)(=O)c1ccc2c(c1)CCC1(CCCN(C(=O)N[C@H]3C[C@@H]3c3ccccc3)CC1)O2,10.0
2417,2463,O=C1CC2(CCN(C(=O)NC3CCc4ccccc43)CC2)Oc2ccccc21,10.0
2418,2464,O=C1CC2(CCN(C(=O)NC3CCc4ccccc4CC3)CC2)Oc2ccccc21,10.0
2419,2465,CS(=O)(=O)c1ccc2c(c1)C(=O)CC1(CCN(C(=O)N[C@@H]3CC[C@@H](c4ccccc4)C3)CC1)O2,10.0
2420,2466,O=C1CC2(CCN(C(=O)N[C@H]3C[C@@H]3c3ccccc3)CC2)Oc2ccccc21,10.0
2421,2467,O=C1CC2(CCN(C(=O)N[C@H]3C[C@@H]3c3ccccc3)CC2)Oc2ccc(-c3ccncc3)cc21,10.0
2422,2468,O=C1CC2(CCN(C(=O)N[C@H]3C[C@@H]3c3ccccc3)CC2)Oc2cccnc21,10.0
2423,2469,O=C(N[C@H]1C[C@@H]1c1ccccc1)N1CCC2(CC1)CC(O)c1ncccc1O2,10.0
2424,2470,O=C(N[C@H]1C[C@@H]1c1ccccc1)N1CCC2(CCc3ncccc3O2)CC1,10.0
2425,2471,Cn1nccc1-c1ccc2c(c1)C(=O)CC1(CCN(C(=O)N[C@H]3C[C@@H]3c3ccccc3)CC1)O2,10.0
2426,2472,Cn1nccc1Nc1ccc2c(c1)C(=O)CC1(CCN(C(=O)N[C@H]3C[C@@H]3c3ccccc3)CC1)O2,10.0
2427,2473,CS(=O)(=O)c1ccc2c(c1)C(=O)CC1(CCN(C(=O)N[C@H]3C[C@@H]3c3ccccc3)CC1)O2,10.0
2428,2474,O=C(N[C@H]1C[C@@H]1c1ccccc1)N1CCC2(CCc3ccccc3O2)CC1,10.0
2429,2475,O=C(c1ccc(C(F)(F)F)cc1)N1CCC2(CCc3ccccc3O2)CC1,10.0
2430,2476,CS(=O)(=O)c1ccc2c(c1)CCC1(CCN(C(=O)c3ccc(C(F)(F)F)cc3)CC1)O2,10.0
2431,2477,CS(=O)(=O)c1ccc2c(c1)CCC1(CCN(C(=O)Cc3ccc(Cl)cc3Cl)CC1)O2,10.0
2432,2478,O=C(CCc1ccccc1)N1CCC2(CCc3cc(F)ccc3O2)CC1,10.0
2433,2479,O=C1CC2(CCN(C(=O)NC3CCc4ccccc4C3)CC2)Oc2ccccc21,10.0
2434,2480,CN(CC1CCOCC1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,5.0
2435,2481,Cc1cnn(C2CCN(c3nc4ccccc4n3Cc3ccc(F)cc3)CC2)c1,5.0
2436,2482,COc1ccc(Cn2c(C3CCCN(C)C3)nc3ccccc32)cc1,5.0
2437,2483,CN1CCCC(c2nc3ccccc3n2CCOc2ccccc2)C1,5.0
2438,2484,CCOCCn1c(C2CCCN(C)C2)nc2ccccc21,5.0
2439,2485,CN1CCCC(c2nc3ccccc3n2Cc2ccccn2)C1,5.0
2440,2486,Cc1csc(Cn2c(C3CCCN(C)C3)nc3ccccc32)n1,5.0
2441,2487,CN1CCCC(c2nc3ccccc3n2CC2CCCO2)C1,5.0
2442,2488,CC(C)N1CCCC(c2nc3ccccc3n2Cc2ccc(F)cc2)C1,5.0
2443,2489,Fc1ccc(Cn2c(C3CCCN(C4CCCCC4)C3)nc3ccccc32)cc1,5.0
2444,2490,COc1ccc(Cn2c(C3CCCN(C(C)C)C3)nc3ccccc32)cc1,5.0
2445,2491,COc1ccc(Cn2c(C3CCCN(C4CCCCC4)C3)nc3ccccc32)cc1,3.3
2446,2492,COc1ccc(Cn2c(C3CCCN(C4CCOCC4)C3)nc3ccccc32)cc1,5.0
2447,2493,CCOCCn1c(C2CCCN(C3CCCCC3)C2)nc2ccccc21,5.0
2448,2494,CCOCCn1c(C2CCCN(C3CCOCC3)C2)nc2ccccc21,5.0
2449,2495,Cc1csc(Cn2c(C3CCCN(C4CCCCC4)C3)nc3ccccc32)n1,5.0
2450,2496,Cc1csc(Cn2c(C3CCCN(C4CCOCC4)C3)nc3ccccc32)n1,5.0
2451,2497,COc1ccc(Cn2c(N3CC[C@@H](N(C)C)C3)nc3ccccc32)cc1,5.0
2452,2498,CCOCCn1c(N2CC[C@H](N(C)C)C2)nc2ccccc21,5.0
2453,2499,CN1CCCC(c2nc3ccccc3n2Cc2ccc(F)cc2)C1,5.0
2454,2500,Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NC[C@@H](O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,0.5
2455,2501,Cc1cc(N2CCNCC2)cc2[nH]c(-c3c(NC[C@@H](O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,3.0
2456,2502,Cc1cc(N2CCN(C)CC2)cc2[nH]c(-c3c(NC[C@@H](O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,3.5
2457,2503,Cc1cc(N2CCN(CCF)CC2)cc2[nH]c(-c3c(NC[C@@H](O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,2.2
2458,2504,Cc1cc(N2CCN(S(C)(=O)=O)CC2)cc2[nH]c(-c3c(NC[C@@H](O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,0.6000000000000001
2459,2505,Cc1cc(N2CCN(CCO)CC2)cc2[nH]c(-c3c(NC[C@@H](O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,3.3
2460,2506,Cc1cc(N2CCN(CCCO)CC2)cc2[nH]c(-c3c(NC[C@@H](O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,1.9
2461,2507,CNC(=O)CN1CCN(c2cc(C)c3nc(-c4c(NC[C@@H](O)c5cccc(Cl)c5)cc[nH]c4=O)[nH]c3c2)CC1,2.6
